,Rho,Cos,Ion Temperature,Minimum Energy
0,0.0,-0.875,2.4168516000000007,16584.43546549078
1,0.0,-0.625,2.4168516000000007,13954.367523415505
2,0.0,-0.375,2.4168516000000007,9492.628542573153
3,0.0,-0.125,2.4168516000000007,4941.595670324552
4,0.0,0.125,2.4168516000000007,2133.3392804891078
5,0.0,0.375,2.4168516000000007,944.466223374149
6,0.0,0.625,2.4168516000000007,481.1057891509093
7,0.0,0.875,2.4168516000000007,280.1902005958041
8,0.08,-0.875,2.3699999999999997,14251.192660064506
9,0.08,-0.625,2.3699999999999997,12087.78936903071
10,0.08,-0.375,2.3699999999999997,8368.59834397237
11,0.08,-0.125,2.3699999999999997,4508.382104609449
12,0.08,0.125,2.3699999999999997,2037.4224501894148
13,0.08,0.375,2.3699999999999997,934.3598962933345
14,0.08,0.625,2.3699999999999997,479.6790041587021
15,0.08,0.875,2.3699999999999997,276.6949446037759
16,0.16,-0.875,2.2560478999999996,11682.203878943177
17,0.16,-0.625,2.2560478999999996,10019.212848920572
18,0.16,-0.375,2.2560478999999996,7099.418915697035
19,0.16,-0.125,2.2560478999999996,3993.6876018109792
20,0.16,0.125,2.2560478999999996,1909.5173045025156
21,0.16,0.375,2.2560478999999996,915.5164274689378
22,0.16,0.625,2.2560478999999996,475.04523332415465
23,0.16,0.875,2.2560478999999996,270.8341046315173
24,0.24,-0.875,2.0889563,9667.778357808036
25,0.24,-0.625,2.0889563,8378.250298209317
26,0.24,-0.375,2.0889563,6065.706549083623
27,0.24,-0.125,2.0889563,3547.303097059936
28,0.24,0.125,2.0889563,1782.700920770557
29,0.24,0.375,2.0889563,889.8582443485744
30,0.24,0.625,2.0889563,466.5604631545724
31,0.24,0.875,2.0889563,263.23960422010794
32,0.32,-0.875,1.8869721000000006,7968.224935528999
33,0.32,-0.625,1.8869721000000006,6971.9599717518195
34,0.32,-0.375,1.8869721000000006,5150.240231350883
35,0.32,-0.125,1.8869721000000006,3121.9837181676844
36,0.32,0.125,1.8869721000000006,1642.3047631093425
37,0.32,0.375,1.8869721000000006,851.4496111116406
38,0.32,0.625,1.8869721000000006,450.99913385470114
39,0.32,0.875,1.8869721000000006,251.81901788249954
40,0.4,-0.875,1.6650124999999996,6523.3245712666385
41,0.4,-0.625,1.6650124999999996,5757.135313838384
42,0.4,-0.375,1.6650124999999996,4332.90456245319
43,0.4,-0.125,1.6650124999999996,2714.95263668057
44,0.4,0.125,1.6650124999999996,1489.54421021382
45,0.4,0.375,1.6650124999999996,800.374039161281
46,0.4,0.625,1.6650124999999996,428.2457460274763
47,0.4,0.875,1.6650124999999996,236.7200485932772
48,0.48,-0.875,1.4487864,5195.338770683996
49,0.48,-0.625,1.4487864,4620.399245156828
50,0.48,-0.375,1.4487864,3538.13793232795
51,0.48,-0.125,1.4487864,2286.3754456378765
52,0.48,0.125,1.4487864,1304.6026565529526
53,0.48,0.375,1.4487864,725.3762207813156
54,0.48,0.625,1.4487864,391.9919142365365
55,0.48,0.875,1.4487864,214.49593609600103
56,0.56,-0.875,1.2625814000000002,3933.1202877827127
